onset	duration	trial_type	stimulus_type
9	0.5	Instruction	5
12.8	0	Correct	5
15	0.5	Instruction	10
18	0	Correct	10
22	0.5	Instruction	6
26	0	Correct	6
30	0.5	Instruction	15
32.8	0	Correct	15
37	0.5	Instruction	8
40.3	0	Correct	8
44	0.5	Instruction	3
46.2	0	Correct	3
48	0.5	Instruction	16
51.9	0	Correct	16
56	0.5	Instruction	4
60	0	Correct	4
63	0.5	Instruction	12
66	0	Correct	12
68	0.5	Instruction	1
71.1	0	Correct	1
73	0.5	Instruction	7
75.1	0	Correct	7
79	0.5	Instruction	13
82.9	0	Correct	13
86	0.5	Instruction	2
88.1	0	Correct	2
90	0.5	Instruction	9
92.3	0	Correct	9
94	0.5	Instruction	11
97.9	0	Correct	11
101	0.5	Instruction	14
104.2	0	Correct	14
118	0.5	Instruction	7
121.9	0	Correct	7
124	0.5	Instruction	4
127.1	0	Correct	4
130	0.5	Instruction	16
132.8	0	Correct	16
137	0.5	Instruction	10
139.5	0	Correct	10
141	0.5	Instruction	5
144.9	0	Correct	5
148	0.5	Instruction	11
151.9	0	Correct	11
155	0.5	Instruction	9
157.9	0	Correct	9
160	0.5	Instruction	6
164	0	Correct	6
173	0.5	Instruction	1
176.9	0	Correct	1
181	0.5	Instruction	14
183.2	0	Correct	14
187	0.5	Instruction	8
189	0	Correct	8
193	0.5	Instruction	13
195.2	0	Correct	13
198	0.5	Instruction	2
200.1	0	Correct	2
202	0.5	Instruction	3
205.9	0	Correct	3
208	0.5	Instruction	12
210.1	0	Correct	12
224	0.5	Instruction	15
226.9	0	Correct	15
229	0.5	Instruction	14
231.1	0	Correct	14
235	0.5	Instruction	12
237.4	0	Correct	12
239	0.5	Instruction	10
241.1	0	Correct	10
244	0.5	Instruction	7
248	0	Correct	7
251	0.5	Instruction	4
254.9	0	Correct	4
258	0.5	Instruction	16
261	0	Correct	16
265	0.5	Instruction	8
268.9	0	Correct	8
272	0.5	Instruction	11
275	0	Correct	11
278	0.5	Instruction	6
281.1	0	Correct	6
283	0.5	Instruction	13
285.5	0	Correct	13
289	0.5	Instruction	3
293	0	Correct	3
296	0.5	Instruction	5
298.1	0	Correct	5
302	0.5	Instruction	2
305	0	Correct	2
309	0.5	Instruction	1
312.4	0	Error	1
314.1	0.5	Instruction	9
317.3	0	Correct	9
320.1	0.5	Instruction	15
323.6	0	Error	15
165.5	7	Change_rule	0
106.5	11	Baseline	0
211.5	12	Baseline	0
326.6	10	Baseline	0
